"ENST_Id","ENST_Entscheidung","ENST_Stichwort"
1734,208,201
1735,208,79
1736,208,90
1737,208,95
1738,215,223
1739,215,32
1740,216,200
1742,217,85
1743,217,111
1744,217,144
1745,219,158
1746,220,69
1747,221,127
1748,222,241
1749,222,76
1750,224,77
1751,224,79
1752,226,206
1753,226,208
1754,226,79
1755,226,84
1756,226,87
1757,227,83
1758,228,83
1759,228,87
1760,228,140
1761,228,246
1762,230,150
1763,231,213
1764,232,175
1765,234,84
1766,234,215
1767,235,150
1768,235,172
1769,235,176
1770,236,122
1771,237,223
1772,237,215
1773,238,126
1774,238,129
1775,238,210
1776,239,91
1777,239,215
1778,239,158
1779,240,158
1780,240,77
1781,241,158
1782,241,75
1783,243,84
1784,243,215
1785,243,158
1786,244,246
1787,245,158
1788,245,83
1789,245,246
1790,245,140
1791,246,83
1792,247,85
1793,247,213
1794,248,237
1795,248,85
1796,249,140
1797,249,145
1798,249,213
1799,250,158
1800,250,30
1801,250,122
1802,251,202
1803,251,210
1804,252,208
1805,254,158
1806,254,83
1807,255,158
1808,256,217
1809,256,215
1810,256,158
1811,273,158
1812,273,57
1813,274,160
1814,275,220
1815,276,158
1816,276,77
1817,280,247
1818,281,151
1819,281,76
1820,281,32
1821,282,160
1822,282,222
1823,283,222
1824,283,83
1825,283,247
1826,283,111
1827,284,248
1828,284,160
1829,284,59
1830,284,119
1831,285,57
1832,285,220
1833,288,144
1834,289,158
1835,289,83
1836,290,83
1837,290,158
1838,292,158
1839,292,59
1840,292,119
1841,299,111
1842,301,247
1843,305,32
1844,308,237
1845,308,32
1846,309,158
1847,309,138
1848,311,132
1849,311,32
1850,311,208
1851,311,233
1852,313,32
1853,313,119
1854,314,222
1855,314,246
1856,315,198
1857,315,209
1858,315,32
1859,315,247
1860,315,233
1861,317,32
1862,317,132
1863,318,209
1864,319,158
1865,320,233
1866,322,158
1867,324,165
1868,325,165
1869,325,247
1870,327,147
1871,327,158
1872,328,97
1873,328,158
1874,329,222
1875,331,247
1876,332,140
1877,333,120
1878,334,161
1879,334,119
1880,334,132
1881,335,160
1882,335,140
1883,336,160
1884,336,119
1885,336,77
1886,336,83
1887,339,97
1888,340,229
1889,341,158
1890,341,75
1891,342,152
1892,343,213
1893,345,132
1894,345,237
1895,346,158
1896,346,220
1897,347,241
1898,347,213
1899,347,32
1900,348,32
1901,348,158
1902,348,83
1903,349,103
1904,349,220
1905,351,213
1906,352,229
1907,352,226
1908,353,208
1909,353,209
1910,353,133
1911,354,11
1912,355,120
1913,355,213
1914,356,200
1915,356,132
1916,356,223
1917,356,117
1918,356,111
1919,356,140
1920,356,225
1921,357,192
1922,357,217
1923,357,32
1924,357,226
1925,358,32
1926,358,83
1927,358,47
1928,359,170
1929,360,209
1930,361,132
1931,361,209
1932,362,158
1933,362,11
1934,363,160
1935,364,83
1936,364,247
1937,364,145
1938,364,122
1939,369,190
1940,369,131
1941,370,122
1942,370,210
1943,371,147
1944,373,213
1945,374,132
1946,374,209
1947,374,30
1948,376,217
1949,377,237
1950,377,117
1951,377,111
1952,378,117
1953,378,158
1954,379,190
1955,380,81
1956,380,34
1957,381,237
1958,381,45
1959,382,158
1960,382,49
1961,382,15
1962,382,138
1963,382,140
1964,383,178
1965,383,120
1966,383,122
1967,384,97
1968,384,160
1969,385,165
1970,385,132
1971,386,57
1972,386,158
1973,387,77
1974,387,216
1975,387,57
1976,388,77
1977,388,233
1978,388,119
1979,388,223
1980,389,32
1981,389,139
1982,389,198
1983,390,132
1984,390,119
1985,391,229
1986,391,82
1987,391,77
1988,392,225
1989,393,225
1990,394,165
1991,395,160
1992,395,82
1993,395,83
1994,395,247
1995,395,119
1996,395,210
1997,397,83
1998,397,119
1999,398,122
2000,398,97
2001,400,241
2002,400,213
2003,401,158
2004,401,161
2005,401,57
2006,401,211
2007,402,50
2008,402,229
2009,404,237
2010,404,238
2011,405,249
2012,405,34
2013,407,247
2014,407,122
2015,407,132
2016,407,139
2017,408,119
2018,409,192
